id,direction,text,translation1_googleTranslate,translation2_chatGPT,preferred_translation,date_added
53,spa_to_eng,"Las causas son variadas y complejas, al igual que las soluciones que, pese a la demanda desesperada durante años, aún no llegan.","The causes are varied and complex, as are the solutions, which, despite years of desperate demand, have yet to arrive.","The causes are varied and complex, just like the solutions that, despite the desperate demand for years, have not yet arrived.",3,2025-01-07 17:45:41
54,spa_to_eng,"Residencia de Janet Quiñones en el sector Villa Cristiana, en Loíza, Puerto Rico.","Janet Quiñones' residence in the Villa Cristiana sector, in Loíza, Puerto Rico.","Residence of Janet Quiñones in the Villa Cristiana sector, in Loíza, Puerto Rico.",3,2025-01-07 17:46:02
55,spa_to_eng,Desastre creado por el hombre,Man-made disaster,Disaster created by man,3,2025-01-07 18:22:53
56,spa_to_eng,"A tres horas de Loíza, en la costa del barrio Córcega en Rincón, en el oeste de Puerto Rico, una hilera de estructuras inclinadas parece que le hace reverencias al mar y a los hermosos atardeceres naranja intenso que allí ocurren.","Three hours from Loíza, on the coast of the Córcega neighborhood in Rincón, in western Puerto Rico, a row of leaning structures seems to bow to the sea and the beautiful intense orange sunsets that occur there.","Three hours from Loíza, on the coast of the Córcega neighborhood in Rincón, in the west of Puerto Rico, a row of slanted structures seems to bow to the sea and the beautiful intense orange sunsets that occur there.",3,2025-01-07 18:24:04
57,spa_to_eng,"Desde el techo de una de ellas Ruperto Chaparro, un profesor de la Universidad de Puerto Rico experto en manejo de recursos costeros, nos señala un predio vacío en donde alguna vez hubo un complejo de apartamentos cuyas unidades tenían un valor sobre los US$200.000.","From the roof of one of them, Ruperto Chaparro, a professor at the University of Puerto Rico and expert in coastal resource management, points out an empty lot where there was once an apartment complex whose units were valued at over US$200,000.","From the roof of one of them, Ruperto Chaparro, a professor at the University of Puerto Rico and an expert in coastal resource management, points out an empty lot where there was once an apartment complex whose units were valued at over $200,000.",3,2025-01-07 18:25:53
58,spa_to_eng,"Fue demolido en 2022, luego de que, por la marejada ciclónica que provocó el huracán María en 2017, la pérdida de playa hizo que una parte de los edificios quedara dentro del agua.","It was demolished in 2022, after the storm surge caused by Hurricane Maria in 2017 caused the loss of beachfront and caused part of the buildings to be submerged in the water.","It was demolished in 2022, after the storm surge caused by Hurricane Maria in 2017 resulted in the loss of beach, which left part of the buildings underwater.",3,2025-01-07 18:28:57
59,spa_to_eng,"Hilera de estructuras destruidas en el barrio Córcega, en el municipio costero Rincón, Puerto Rico.","Row of destroyed structures in the Córcega neighborhood, in the coastal municipality of Rincón, Puerto Rico.","Row of destroyed structures in the Córcega neighborhood, in the coastal municipality of Rincón, Puerto Rico.",3,2025-01-07 18:29:50
60,spa_to_eng,Complejo de apartamentos Rincón Ocean Club II antes de ser demolido en 2022 por quedar dentro del mar a consecuencia de la erosión costera.,Rincón Ocean Club II apartment complex before being demolished in 2022 due to being submerged in the sea due to coastal erosion.,Rincón Ocean Club II apartment complex before being demolished in 2022 due to being situated in the sea as a result of coastal erosion.,3,2025-01-07 18:30:34
61,spa_to_eng,"Precisamente, la combinación de construir en la zona marítimo-terrestre, algo que amenaza los recursos costeros como las dunas y corales que detienen el oleaje, y las consecuencias del cambio climático, que provoca huracanes y eventos de marejadas más fuertes y frecuentes, son la principal razón del problema, dice el científico.","The main reason for the problem is the combination of building in the maritime-terrestrial zone, which threatens coastal resources such as dunes and corals that stop the waves, and the consequences of climate change, which causes stronger and more frequent hurricanes and storm surges, says the scientist.","Precisely, the combination of building in the maritime-terrestrial zone, something that threatens coastal resources such as dunes and corals that buffer the waves, and the consequences of climate change, which causes hurricanes and stronger and more frequent storm surge events, is the main reason for the problem, says the scientist.",3,2025-01-07 18:33:21
62,spa_to_eng,"""El cambio climático entra en juego en el proceso de erosión por el aumento en el nivel del mar, debido a que se están derritiendo los polos"", dice, para explicar las razones por las que las marejadas que se ""comen"" la costa son cada vez más potentes.","""Climate change is playing a role in the erosion process caused by rising sea levels, as the poles are melting,"" he says, explaining why the tidal waves that are ""eating away"" at the coast are becoming more and more powerful.","""Climate change comes into play in the erosion process due to the rising sea levels, because the poles are melting,"" he says, explaining the reasons why the storm surges that ""eat away"" the coast are becoming more powerful.",2,2025-01-07 18:37:06
64,spa_to_eng,"Un informe de la Agencia Nacional Oceánica y Atmosférica de EE.UU. de 2022 señala que, al menos en San Juan, la capital del territorio caribeño, se ha registrado desde 1962 un aumento de 1,77 centímetros en el nivel del mar por década (equivalente al índice de aumento del nivel global del mar).","A 2022 report by the U.S. National Oceanic and Atmospheric Administration notes that at least in San Juan, the capital of the Caribbean territory, there has been a rise of 1.77 centimeters in sea level per decade since 1962 (equivalent to the rate of global sea level rise).","A report from the U.S. National Oceanic and Atmospheric Administration in 2022 notes that, at least in San Juan, the capital of the Caribbean territory, there has been an increase of 1.77 centimeters in sea level per decade since 1962 (equivalent to the global sea level rise rate).",1,2025-01-07 18:46:45
65,spa_to_eng,"Aunque parezca poco, el informe detalla que el efecto que ese cambio tiene en las marejadas es ""preocupante"", más aún cuando en la isla un 60% de la población vive en la costa.","Although this may not seem like much, the report details that the effect of this change on storm surges is ""worrying"", even more so when 60% of the island's population lives on the coast.","Although it may seem small, the report details that the effect this change has on swells is ""concerning,"" especially considering that 60% of the population on the island lives on the coast.",3,2025-01-07 18:49:22
66,spa_to_eng,"Y aunque el nivel del mar aumenta alrededor de todo el mundo, el impacto de la erosión es tan marcado en Puerto Rico porque su gobierno ha permitido una construcción desmedida en la costa, basando sus leyes, reglamentos y política pública en definiciones heredadas de una legislación del tiempo colonial español, critica el profesor Chaparro","And although sea levels are rising around the world, the impact of erosion is so marked in Puerto Rico because its government has allowed excessive construction on the coast, basing its laws, regulations and public policy on definitions inherited from legislation from the Spanish colonial period, criticizes Professor Chaparro.","And although sea level is rising around the world, the impact of erosion is so pronounced in Puerto Rico because its government has allowed unchecked construction on the coast, basing its laws, regulations, and public policy on definitions inherited from legislation from the Spanish colonial era, criticizes Professor Chaparro.",3,2025-01-07 19:03:33
67,spa_to_eng,El documento aprobado por España tuvo vigencia en el archipiélago desde 1886.,The document approved by Spain was in force in the archipelago since 1886.,The document approved by Spain was in effect in the archipelago since 1886.,3,2025-01-07 19:04:14
68,spa_to_eng,un poco de estrés,a little stress,a little bit of stress,3,2025-01-08 21:19:49
69,spa_to_eng,el estado anímico,the mood,the mood,3,2025-01-08 21:21:44
70,eng_to_spa,joao is the greatest of all time.,Joao es el más grande de todos los tiempos.,Joao es el más grande de todos los tiempos.,3,2025-01-09 01:56:58
71,eng_to_spa,I have a headache,Me duele la cabeza,Tengo dolor de cabeza.,2,2025-01-09 05:43:51
72,eng_to_spa,if I had a million dollars I would buy you a boat,Si tuviera un millón de dólares te compraría un barco,"Si tuviera un millón de dólares, te compraría un barco.",3,2025-01-09 05:44:40
73,spa_to_eng,comida basura,junk food,junk food,3,2025-01-13 19:09:18
74,spa_to_eng,Lleve ropa y calzado adecuados al clima del país de destino.,Wear clothing and footwear appropriate for the climate of the destination country.,Bring appropriate clothing and footwear for the climate of the destination country.,2,2025-01-15 00:47:23
75,spa_to_eng,"Cuando coma fruta, siempre lávela y pélela antes","When eating fruit, always wash and peel it before eating.","When you eat fruit, always wash it and peel it first.",3,2025-01-15 00:48:44
76,spa_to_eng,Prepare un botiquín con medicamentos básicos,Prepare a first aid kit with basic medications,Prepare a first aid kit with basic medicines.,3,2025-01-15 00:53:37
77,spa_to_eng,las hojas caen,the leaves fall,The leaves fall.,3,2025-01-15 00:59:50
78,spa_to_eng,"Nos encontramos en la Avenida 9 de Julio, una de las principales calles de la ciudad, y conocida como la avenida más ancha del mundo","We are located on Avenida 9 de Julio, one of the main streets of the city, and known as the widest avenue in the world.","We are on Avenida 9 de Julio, one of the main streets of the city, and known as the widest avenue in the world.",3,2025-01-15 01:11:58
79,spa_to_eng,preguntar en qué parte de la playa está el salvavidas.,ask where the lifeguard is on the beach.,Ask where the lifeguard is on the beach.,3,2025-01-16 13:53:25
80,spa_to_eng,la llegada,the arrival,The arrival,3,2025-01-16 14:00:07
81,spa_to_eng,la queja,the complaint,The complaint,3,2025-01-16 14:00:50
83,spa_to_eng,Hace poco que tengo el carné,I recently got my license,I recently got my driver's license.,3,2025-01-18 19:57:18
85,spa_to_eng,egresar,graduate,to graduate,2,2025-01-18 21:00:43
86,spa_to_eng,testigos,witnesses,witnesses,3,2025-01-18 21:01:47
87,spa_to_eng,milenio,millennium,millennium,3,2025-01-18 21:01:53
88,spa_to_eng,acontecimiento,event,event,3,2025-01-18 21:02:16
89,eng_to_spa,"The book I read yesterday, which was recommended by my teacher, was fascinating.","El libro que leí ayer, recomendado por mi profesor, fue fascinante.","El libro que leí ayer, que fue recomendado por mi maestro, fue fascinante.",3,2025-01-18 21:12:12
90,eng_to_spa,He’s as American as apple pie.,Es tan americano como el pastel de manzana.,Es tan americano como el pastel de manzana.,3,2025-01-18 21:12:56
91,eng_to_spa,"Hey, what’s up?",¿Hola! Qué tal?,"Hola, ¿qué tal?",3,2025-01-18 21:13:40
92,spa_to_eng,irse al extranjero,go abroad,to go abroad,2,2025-01-18 21:44:08
93,spa_to_eng,al principio,at first,at the beginning,3,2025-01-19 02:04:50
94,spa_to_eng,en aquellos años,in those years,in those years,3,2025-01-19 02:05:03
95,spa_to_eng,El profesor te dijo que miraras dónde te sientas.,The teacher told you to watch where you sit.,The teacher told you to watch where you sit.,3,2025-01-19 15:54:29
96,eng_to_spa,The teacher told you to watch where you sit,El profesor te dijo que miraras dónde te sientas.,El maestro te dijo que tengas cuidado donde te sientas.,3,2025-01-19 15:55:28
97,eng_to_spa,The teacher told you to watch where you sit,El profesor te dijo que miraras dónde te sientas.,El profesor te dijo que mires dónde te sientas.,3,2025-01-19 15:55:56
